Author;Date;Rating;Review;Book_title;Book_author;label
Яна;12.05.2025;5;Мне книга понравилась. Решила познакомится с восточными авторами с неё. Для меня, если после прочтения книги остается хоть одна гениальная и простая истина, то это уже хорошо. Из этой книги я вынесла 3. История, как покажется на первый взгляд не замысловатая, но те мысли которые приходят после прочтения спустя какое-то время потрясают. А что действительно я могу оставить после себя? А что если действительно все кошки в мире исчезнут?;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Evrik;08.05.2025;2;"Как обычно в последнее время: если книгу рекламируют на каждом углу и везде преподносится как лучшая книга, то скорее всего просто рекламная раскрутка, чтобы продать то, что выпустили.
смысла в книге чуть больше чем ноль. вроде тема, располагающая к каким-то глубоким размышлениям, но нет. нет никакой разницы в том, какие вещи были выбраны, можно было еще глав 10-20 накидать, вообще никак не повлияло бы ни на что. просто бессмысленное чтиво.";Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Ирина;07.05.2025;4;Купила совсем недавно, сейчас дочитываю эту книгу и мне уже есть, что по ней рассказать:) Я читала мало азиатской литературы и у меня максимально нейтральное впечатление о ней. Здесь же мне понравилась мысль, которую автор заложил, его виденье по поводу жизни;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Is;07.05.2025;5;"Прочел пару впечатлений о книге, некоторые пишут что автор излагает свои мысли достаточно скудно и неинтересно, но смысл изначально был не в красочных описаниях.
За последнее время это одно из самых наполненных по смысловому содержанию произведений. Количество тем, над которыми стоит подумать, настолько зашкаливает, что человек, который действительно вчитывается, будет еще долго отходить.
Эту книгу стоит прочитать каждому. Возможно кто-то скажет о том, что мысли в ней банальны, но авторы пишут что-то подобное лишь для того, чтобы не просто озвучить идею, а ДОНЕСТИ её. У Генки Кавамуры это действительно получилось.";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Пользователь скрыл свои данные;06.05.2025;5;Книга идеально подойдёт для выхода из нечитуна. Легко читается из-за маленького объёма, но тяжело видеть своего отца в холодном отце главного героя. Было приятно читать про тёплое и такое ласковое отношение к маме, а также как гг размышляет по поводу своего кота. Дьявол вообще отдельная история, приятный, харизматичный, чуточку хитрый и смешной в некоторых моментах. Момент с морем заставил отложить книгу, чтобы просто не разрыдаться. Однако книга совсем не трагичная, а лишь даёт толчок к размышлению про ценности жизни.;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Rina;05.05.2025;4;Что хочу сказать, книга на один раз, на 4 с минусом. Никакого описания ГГ, все довольно таки скудно. Задумка автора неплохая, но такое повествование, будто читаешь детскую литературу. Никаких поворотов событий. Всё очень сухо. ГГ не вызывает сочувствия, даже с его историей. Очень раздражало это «ОК», будто читаешь не книгу, а переписку. Образ дьявола вообще полнейшее разочарование…Так же, как и его имя. В общем 4 балла, и то думаю много.;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Елизавета;05.05.2025;2;"Честно, книга на один раз. Концепция очень интересна, но прям очень сильно недоработана: абсолютно непонятно, куда деваются те или иные вещи.
Не буду спойлерить, но к концу книги я вообще не поняла механизм с исчезновением, много сюжетных дыр в этом аспекте.
Может проблема во мне, но я ожидала намного большей проработки этой стороны сюжета. Автор бы хоть описал, что да как исчезает.
Следующее: слишком банальные мысли. Буквально цитирую: «жизнь - это радость и грусть, слезы и смех….». Извините, я такое писала в личном дневнике в 5 классе, как и большинство.
И последнее: в книге как будто намеренно много стекла. Опять же, почему то не прописывается суть исчезновения предметов, но во всех подробностях описываются смерти, ссоры, прочие трагические ситуации.
Подводя итог: очень «пресная» книга, в которую намеренно решили напихать стекла и однотипных мыслей гг.";Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Лата;02.05.2025;5;Читая 'Если все кошки в мире исчезнут', я была просто поражена, насколько эта книга заставила меня по-другому взглянуть на жизнь. В какой-то момент я даже остановилась и подумала: 'А что бы я выбрала, если бы оказалась на месте героя?' Это произведение очень тонко и без лишней драмы показывает, насколько важны простые вещи, которые мы постоянно не замечаем. Я почувствовала, как история пробудила во мне тёплое чувство благодарности за то, что у меня есть, и заставила ценить каждый момент. Это определённо книга, которая остаётся в сердце;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Диана;29.04.2025;3;"Поддалась на всеобщий ажиотаж. Могу сказать, что не поняла настолько восторженных отзывов.
При чтении было стойкое ощущение, что это проба пера, будто нужно было ещё поработать над книгой. Подняты важные темы, я согласна с автором по множеству вопросов.
Пишу отзыв спустя 2 месяца после чтения, понимаю, что большого следа книга в душе не оставила. Думаю, если бы не ""кошки"" в названии, то такой бы популярности книга не достигла.
Подводя итог, книгу прочитать можно, чтобы скоротать вечер, но не думаю, что она достойна такого высокого рейтинга.";Если все кошки в мире исчезнут;Гэнки Кавамура;0
Екатерина;27.04.2025;3;"Книгу купила по отзывам, которые ОЧЕНЬ восторженные. Надеялась на вау, но ничего особенного не заметила( нет, книга с прекрасным и неизбитым сюжетом. Есть интересные мысли, много моментов, над которыми стоит поразмыслить и глубоко задуматься.
Читала с интересом, но не зацепило. Был момент хотела бросить чтение этой книги (показатель того, что книга не захватила). Но прочитать стоит!!!";Если все кошки в мире исчезнут;Гэнки Кавамура;0
Мари;26.04.2025;3;"Оформление хорошее, мне нравится больше, чем подарочное. История с хорошим посылом, но не понравилась. Ожидания были слишком большие, и они не оправдались.
Написано странным образом, слишком легкий слог. Герой получился каким-то нюней, не способным нормально мыслить, все время вспоминает прошлое и тд.
Вообще не плакала над концовкой, все прошло как будто мимо меня. Не стоит эта книга внимания, особенно такого большого внимания как ей представляют.";Если все кошки в мире исчезнут;Гэнки Кавамура;0
Оксана;23.04.2025;5;"На что готов пойти человек ради жизни.

История философская, грустная , трогательная, есть над чем подумать. Я даже всплакнула когда описывались воспоминания главного героя о маме, которой уже нет в живых.

В принципе никакого послевкусия от истории не осталось. Я не загонялась, не переживала, не обдумывала смысл жизни и так далее, но в моменте читать мне было интересно. Оценила на 5";Если все кошки в мире исчезнут;Гэнки Кавамура;1
year zero;16.04.2025;4;"книга хорошенькая, читать интересно. Наверное одна из немногих японских книг, которая пришлась мне по душе. Я заметила, что очень мнения очень разделяются у всех, кто когда-либо читал её. Мне она показалась достаточно душевной. Она говорит о том, что к сожалению никто не станет ценить вашу жизнь так же сильно, как вы сами ;) в общем, я бы порекомендовала к прочтению. Она достаточно лёгкая, считается быстро. Даже если не понравится, ничего не потеряете";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Ольга;15.04.2025;2;Описание и название заинтересовывают, начинала читать с предвкушением захватывающей истории, несущей смыслы, приумножающей желание жить и любить жизнь. Ещё не дочитав до середины я поняла, что эта история не имеет никакой глубины. Совершенно поверхностная, ровная, не вызывающая никакого расположения к себе, даже рождает ощущение, что написана впопыхах, «на коленке». Она у меня на втором месте в топе разочаровавших книг. Совсем мимо.;Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Мария;08.04.2025;1;"Это хороший сценарий к фильму,т.к. дорама действительно прекрасна. О книге нельзя сказать такого.Если я и плакала , то от того, что читаю такую безвкусицу!
Шаблонные герои у которых отсутствуют эмоции. Все персонажи абсолютно не имеют индивидуальности! Диалоги -отдельный вид моих слёз. Они абсолютно никакие! Идея с исчезающими предметами за день жизни - отличная, но подана отвратительно.
Поверхностная вещь. Больше похоже на фанфик рассчитанный на подростков: перечислены фильмы, которые точно знают дети, вставлены цитаты, которые можно репостнуть в соц.сети, ну и дьявол и говорящий кот, как элемент магического реализма";Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Ирина;08.04.2025;3;"давно смотрела на эту книгу - люблю японскую литературу плюс котики. в магазинах она везде - замозолила глаза, видимо, поэтому и столько покупок.
сюжет книги хорош. ожидала размышлений от ситуаций, где пропадают вещи и живые существа, кошки, как предложено. нет этого совершенно. гг мыслит, как трёхлетний ребёнок. ну ладно, пятилетний. встречи с людьми, которые приблизительно находятся в списке ""знакомые"" или ""когда-то общались"", лишь для того, чтобы сообщить о своей болезни. нелепые ответы и реакции, словно в плохой пьесе. ""заливается слезами""... ""не реагирует или издевается""
концовка чуть спасает ситуацию, когда гг понимает, что близкие люди/питомцы самое главное в жизни.
уж не знаю, перевод это неудачный или так написано но идея хорошая, подача ужасная. поставлю не одну звезду лишь ради котика и красивой обложки.";Если все кошки в мире исчезнут;Гэнки Кавамура;0
Пользователь скрыл свои данные;07.04.2025;5;Очень приятная и легкая книга! Читается невероятно быстро. Прочитала буквально за пару дней. Не знаю чем так многим не понравилась книга, но это прекрасный вариант когда затянулся нечитун и нужно быстро разогнаться.;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Лиза;03.04.2025;5;"Особо без надежд изначально отнеслась к этой книге, увидела на просторах бук тока. Взяла ее в поезд. Первые страницы вовлекли моментально, яркий, живой сюжет. С самого начала начинаешь переживать, я даже ставила себя на место главного героя. Каждый оборот можно разбирать на цитаты. Эта маленькая книжечка, разорвала меня на куски, и я все равно ее рекомендую.
Сама книга приятная, хоть странички серые , но достаточно плотные";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Анастасия;02.04.2025;3;Не совсем поняла всеобщей любви. Да, идея интересная, но одни и те же мысли повторяются по кругу, словно от этого они станут более значимыми или весомыми. Мораль и логика рассуждений понятны уже в первых главах, от того, что появляется больше примеров, ничего не становится трагичнее или интереснее. Ощущение, что грусть финала лишь ради грусти. Образ Дьявола в гавайской рубашке, влюблённого в мир, конечно, интересный, но особенно очаровательным персонажем я бы его не назвала.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
??;02.04.2025;3;"книга, которая, несмотря на свою популярность, оставила у меня довольно противоречивые впечатления.


Взаимоотношения с другими персонажами не проработаны должным образом, что делает их менее значимыми

Кроме того, книга пытается затронуть важные темы о жизни, смерти и ценности существования, но делает это довольно поверхностно.

произведение, которое могло бы стать чем-то большим, но в итоге оставляет ощущение недосказанности и разочарования.";Если все кошки в мире исчезнут;Гэнки Кавамура;0
Альбина;31.03.2025;3;Я понимаю, чем всех так зацепила история, в какой-то момент она действительно становится трогательной и выводит на слезы, однако для меня она показалась очень слабой. Мораль была проста и очевидна на моменте еще до начала чтения, книга не рассказала ничего нового: люби жизнь, люби семью, котики классные. Возможно книга подойдет для читателей более юного возраста, которые раньше никогда не задумывались об этом, возможно, у меня было не то настроение, но я разочаровалась.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Алиса;23.03.2025;3;Когда покупала книгу почти ничего не знала о ней, случайно увидела на кассе и через пару дней вернулась за ней. Чтение книги отводилось на месяц, но ожидание были большими! Первые страниц 60 был полный восторг, но потом пошел полный капец. Да мне понравилась часть с Латуком и Капустой, да и шутки про дьявола в гавайской рубашке неплохо. Но ,к сожелению, вообще не понравились выборы героя и концовка.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Leyla;23.03.2025;5;Хм, Кавамура Гэнки… начинаю кушать что-то новенькое и интересненькое. Необычный слог, если честно, все любители японской литературы поймут меня. Поражает сама идея написания такого сюжета. Если посмотреть на название и содержание, то понять, какая будет концовка, ожидаемо… НО, все равно невозможно оторваться от этого шедевра! Советую всем, особенно тем, у кого есть домашние животные!;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Данил;22.03.2025;5;"Отличная и глубокая история! Сначала повествование показалось мне моментами не очень понятным, но в итоге я остался доволен прочтением. В этом не столько большом тексте получилось уместить умиления, досаду, переживания и другие чувства. История получилось настолько трогательной, что от переданных эмоция даже подходят слёзы к глазам.
Точно рекомендую! Чувственная история с восточными размышлениями";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Ксения;12.03.2025;2;"Меня, как кошатницу, эта книга не могла не заинтересовать, я купила ее, не задумываясь. Мне очень понравилось оформление: на страницах бегают кошки, в начале каждой главы кот нежится в разных позах, крупный шрифт. Книга короткая и читается быстро. В целом, это все плюсы, которые я для себя выделила.
В остальном меня постигло разочарование.
Никаких размышлений на тему исчезновения кошек или даже других вещей в книге просто нет. Мало того, она поверхностная, написана сухо, читать было скучно. Посыл банальный, такой же попсовый, как и цитаты из фильмов, которые главный герой постоянно приводит.
К прочтению однозначно не стала бы рекомендовать.";Если все кошки в мире исчезнут;Гэнки Кавамура;-1
Ари;10.03.2025;5;по моему заголовку можно было подумать, что это что-то психологическое, но нет. это тяжёлая книга. после прочтения захочется очень долго смотреть в стенку. но всё равно очень рекомендую почитать. почти на каждой странице есть цитата, над которой хочется задуматься. книга оставляет после себя неизгладимое впечатление. думаю, можно начинать читать лет с 12 (сколько мне и было на момент прочтения);Если все кошки в мире исчезнут;Гэнки Кавамура;1
Выстрел;09.03.2025;5;Книга стоит внимания и своей популярности. Автор раскрывает важную проблему, цена жизни. Есть ли для нас, что то важнее чем жизнь? Да может слишком ярких и бурных эмоций эта история не оставит после себя, но в любом случае может заставить задуматься уже над собой. Не всем понравится открытая концовка хоть нам и так вполне понятно что было дальше. А ещё если любите книги с большим количеством цитат это для вас???;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Пользователь скрыл свои данные;07.03.2025;3;Концепция сама по себе интересная. История о почтальоне, которые совершил сделку с дьяволом. Купила из-за очень бросающегося названия. Книга в начале вообще не интересная. Середина тоже не захватывает. Ближе к концу уже начинает выстраиваться история и тут обрыв, конец. Очень обрубили концовку.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Ярослава;04.03.2025;5;Книга была очень интересной, всего за 3 часа прочитала ее всю. Под конец текст заставил меня плакать, было очень приятно и одновременно грустно читать все это, мне было его очень жаль, когда у него стоял выбор: кот либо он, потому что он дорожил капустой, т. к. он ассоциируется с его покойной мамой и о прошлом. Жаль, конечно, что он не помирился с отцом.;Если все кошки в мире исчезнут;Гэнки Кавамура;1
Светлана;28.02.2025;4;"Учитывая огромную популярность этой книги, я ожидала от нее ошеломительного и очень эмоционального эффекта, но этого не произошло. Книга хорошая безусловно. В ней поднимается животрепещущая тема смерти, ценности жизни и умущеных возможностей. А ещё на протяжении всех страниц - ""мы ценим что-то лишь когда потеряем"", а так же ""не потеряв - не приобретешь"". Ее легко читать, попутно напоминая себе важные жизненные аспекты, о многих из которых вспоминаешь на пороге конца. Возможно я ожидала чего-то более аллегорически философского, а не штампованных рассуждений с ноткой божественного влияния. Да и конец меня очень смутил.";Если все кошки в мире исчезнут;Гэнки Кавамура;1
Анастасия;17.02.2025;3;Книга не оправдала моих ожиданий. Захотелось прочитать данную историю, так как тема произведения достаточно интересная, было много положительных отзывов, завлекающая обложка и аннотация. Прочитала буквально за день. Лично мне не хватило более глубоких размышлений, кажется автор не до конца смог раскрыл тему произведения. Слишком простой слог повествования.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Александра;24.01.2025;3;К прочтению меня привлекло название книги и небольшой объем. Философии в истории много, но персонажи поверхностные. Предложение убрать из мира кошек расстроило. Я, как владелец котов, просто не пережила бы такое?? Задумка очень интересная, но реализация так себе… Мне не хватило сюжета. Переживания главного героями безусловно трогали, его жизнь сложно назвать простой, но все же хотелось разбавить подобные терзания.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Александр;12.12.2024;3;"Лепестки сакуры падают тяжелее, чем читается это произведение. На самом деле всё наверняка задумывалось несколько глубже и более философично, но к сожалению оказалось примерно по колено. Как по мне, атмосферу рушит подростково-приятельский стиль повествования. Возможно, он ориентирован на более молодую аудиторию, мне не зашло.
Господин Кавамура долго запрягал, однако последние 2 главы всё же могли бы зацепить струны в душе, если бы не финал.
Повествование просто обрывается, не достигая логичной кульминации, не доведя нас до настоящего, совершённого главным героем действия. А жаль... Могло бы получиться намного лучше...";Если все кошки в мире исчезнут;Гэнки Кавамура;0
Эдуард;13.12.2024;3;Очень странная книга. Ее можно назвать философской, так как подается много тем для этого. Но вот ни сюжет, ни то как написано мне не понравилось. Книга очень маленькая и в этом ее плюс - легко прочитать за один вечер и тут же ее забыть. Слабый слог, невыразительный персонаж и мало логики и эмоций.;Если все кошки в мире исчезнут;Гэнки Кавамура;0
Иван;30.12.2024;3;"Сначала о хорошем.
У книги действительно лёгкий, почти разговорный ""чтивный"" текст. Приятное оформление и достаточно понятный посыл - цените семью и тех, кто вам дорог, не уходите в себя.
О плохом.
Сам посыл передается через отталкивающего героя. Все проблемы у него в голове и осознает их он только на пороге смерти.
Он ищет поддержку и обращается за ней к бывшей, с которой он расстался только потому что не мог её поддержать.
Понимая, что он близок к смерти он соглашается на исчезновение вещей, которые не были по-настоящему ему важны. Он лишь пытается найти поддержку в героях, для которых эти вещи были поддержкой, основой жизни, а затем хладнокровно их уничтожает из мира. К сожалению книга не может описать не реакции этих персонажей, ни, тем более, общества.
До самого конца книги и жизни герой остаётся эгоистом ищущем поддержки. Может кто-то увидит в книге себя или свою ситуацию, может это повлияет на их жизнь. Но как произведение - Роман совершенно пустой.";Если все кошки в мире исчезнут;Гэнки Кавамура;0
